region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41,42
,3,,48,,1385,8,327,802,963,,17,,,,,,,,8,1,213,,8,,,70,4,,1,,0,13,,622,
,3,,49,,1493,10,397,815,927,,21,,,,,,,,7,1,178,,6,,,79,3,,0,,1,9,,620,
,3,,50,,1373,9,415,872,983,,19,,,,,,,,5,0,206,,14,,,22,10,,0,,0,8,,696,
,3,,51,,1553,7,424,915,1059,,28,,,,,,,,9,0,209,,14,,,24,10,,0,,0,7,,757,
,3,,52,,1488,10,346,799,949,,26,,,,,,,,6,4,177,,7,,,48,18,,2,,1,6,,641,
,3,,53,,1559,7,433,876,1020,,24,,,,,,,,7,2,219,,9,,,34,8,,2,,2,14,,699,
,3,,54,,1424,12,426,933,1090,,22,,,,,,,,7,3,206,,11,,,37,5,,0,,4,7,,781,
,3,,55,,1478,9,389,886,1057,,21,,,,,,,,8,0,162,,3,,,96,6,,0,,1,13,,744,
,3,,56,,1552,10,366,898,1105,,23,,,,,,,,4,0,128,,10,,,128,1,,2,,0,7,,802,
,3,,57,,1246,10,317,747,949,,33,,,,,,,,1,1,154,,4,,,118,0,,0,,0,4,,634,
,3,,58,,1362,9,299,809,987,,51,,,,,,,,3,2,200,,11,,,74,1,,2,,0,5,,638,
,3,,59,,1554,8,422,899,1099,,30,,,,,,,,2,4,234,,7,,,66,3,,1,,0,9,,741,
,3,,60,,1454,9,332,705,807,,26,,,,,,,,1,0,410,,9,,,8,0,,0,,0,9,,341,
,3,,61,,1319,11,293,798,965,,32,,,,,,,,12,5,163,,10,,,45,14,,2,,1,10,,664,
,3,,62,,1490,9,347,896,1082,,40,,,,,,,,8,2,203,,9,,,63,8,,1,,0,11,,736,
,3,,63,,1559,6,395,994,1143,,32,,,,,,,,3,3,215,,13,,,65,24,,4,,4,8,,771,
,3,,64,,1542,7,360,905,1106,,30,,,,,,,,11,5,200,,12,,,56,11,,2,,0,8,,767,
,3,,65,,1480,10,358,857,1003,,32,,,,,,,,14,16,260,,13,,,31,5,,1,,1,4,,620,
,3,,66,,1490,7,295,793,947,,27,,,,,,,,14,3,222,,7,,,38,3,,4,,0,7,,617,
,3,,67,,1347,11,306,751,850,,16,,,,,,,,9,0,179,,2,,,53,10,,0,,2,7,,565,
,3,,68,,1573,11,322,773,966,,25,,,,,,,,3,5,354,,10,,,22,11,,1,,1,27,,503,
,3,,69,,1497,9,439,1039,1145,,30,,,,,,,,12,10,249,,9,,,64,9,,5,,0,7,,733,
,3,,70,94,1470,22,471,1148,1354,,36,,,,,,,,15,6,539,,10,,,42,10,,4,,5,10,,677,
